,actual,prediction,ID,name,player_id,team_name_alt,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent,Season,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm
580,-0.7,-0.935728735748218,958,"Myers, Tobias",668964,MIL,4-Seam Fastball,-0.7,-1,106,36.2,34,0.350253807106599,0.4576271186440678,0.46854082998661317,0.22464898595943839,0.2798913043478261,0.3787878787878788,0.4483516483516484,0.5650485436893203,0.5773195876288659,0.56875,2024,0.7325227963525833,106,0.0471938775510204,0.17652657307732,0.361774744,0.07186544342507648,0.895330112721417,0.7125984251968503,0.8210526315789474,0.17370892018779344,0.268733850129199,0.4327731092436975,0.6469604015616286,0.997382199,0.109947644,0.7294832826747721,0.562762304463945,0.7459016393442623,0.901604585760933,1.0,0.5613130832161337,0.5304071058536335,1.0,0.8936170212765958,0.8936170212765958,0.4295852964928069,0.04713131768085837,0.5789473684210527,0.9090909090909091,0.6666666666666667,0.9090909090909091,0.6666666666666667,0.0,0.0
581,0.3,0.00780162669165696,960,"Gore, MacKenzie",669022,WSH,4-Seam Fastball,0.3,1,464,54.7,106,0.46362098138747887,0.2866617538688283,0.4096385542168674,0.34477379095163807,0.34646739130434784,0.4264069264069264,0.4725274725274725,0.2815533980582524,0.3883161512027491,0.4962500000000001,2024,0.841945288753799,464,0.2241709183673469,0.8463255882599866,0.547169811,0.06116207951070338,0.9339774557165861,0.6456692913385826,0.7263157894736842,0.24413145539906103,0.268733850129199,0.4915966386554622,0.6581148912437256,0.866492147,0.19895288,0.841945288753799,0.6047310186951546,0.7008196721311477,0.8138126994526775,0.9181695495119484,0.44481475695837114,0.4510455746383074,0.9130434782608696,1.0,0.9787234042553191,0.3426804225282358,0.09790928909718252,0.6315789473684211,0.9999999999999999,1.0,0.9999999999999999,0.6666666666666667,0.0,0.33333333333333337
582,-0.3,-0.38016048804451863,962,"Gore, MacKenzie",669022,WSH,Curveball,-0.3,-1,173,20.4,43,0.4331641285956007,0.20781134856300662,0.3507362784471218,0.4586583463338534,0.5054347826086958,0.47402597402597396,0.44395604395604404,0.2184466019417476,0.33161512027491413,0.38,2024,0.43768996960486284,173,0.2241709183673469,0.8463255882599866,0.204009434,0.6345565749235476,0.37037037037037046,0.5984251968503936,0.5894736842105264,0.01408450704225352,0.6253229974160206,0.3109243697478992,0.6201896263245956,0.494736842,0.047368421,0.43768996960486284,0.6451735978634109,0.4098360655737705,0.4350820216506057,0.531121776782575,0.9643119248047002,1.0,0.5326086956521738,0.4893617021276596,0.4255319148936171,0.21657937952654205,0.30855907414883676,0.736842105263158,0.4545454545454545,1.0,0.4545454545454545,0.0,0.0,1.0
583,1.6,0.6353259063656158,963,"Gore, MacKenzie",669022,WSH,Slider,1.6,2,118,13.9,32,0.36209813874788493,0.2630803242446573,0.319946452476573,0.5241809672386896,0.3817934782608696,0.4134199134199134,0.4813186813186814,0.3029126213592233,0.43986254295532645,0.4375,2024,0.6899696048632218,118,0.2241709183673469,0.8463255882599866,0.139150943,0.25535168195718655,0.682769726247987,0.38976377952755903,0.41052631578947374,0.09859154929577464,0.537467700258398,0.5294117647058824,0.6542108198549916,0.04620462,0.389438944,0.6899696048632218,0.5097291110263258,0.27049180327868855,0.3250870982935077,0.5029620498777442,0.48290482259618017,0.5447379438426552,0.49999999999999994,0.9787234042553191,0.8936170212765958,0.19270966547405882,0.34843305151421433,0.7894736842105263,0.9999999999999999,0.6666666666666667,0.9090909090909091,0.6666666666666667,0.5,0.0
584,-2.9,-0.6795423572161816,964,"Wilson, Bryse",669060,MIL,4-Seam Fastball,-2.9,-3,96,16.2,34,0.4517766497461929,0.34414148857774507,0.4257028112449799,0.2761310452418097,0.3192934782608696,0.30303030303030304,0.5714285714285714,0.3679611650485437,0.48969072164948446,0.56875,2024,0.7629179331306988,96,0.14253826530612243,0.525772749919302,0.162162162,0.1269113149847095,0.9033816425120773,0.5511811023622047,0.5368421052631579,0.22535211267605632,0.26356589147286824,0.4663865546218488,0.6542108198549916,0.356020942,0.170157068,0.7629179331306988,0.5467378863029378,0.5819672131147541,0.7156368379953469,0.8759392597275476,0.5975118080270627,0.5496436718192003,0.8695652173913044,0.851063829787234,0.8936170212765958,0.4708682437317237,0.11609382389946127,0.4736842105263158,0.9090909090909091,0.0,0.9090909090909091,0.6666666666666667,0.0,0.6666666666666667
585,2.0,1.859505110876442,966,"Wilson, Bryse",669060,MIL,Cutter,2.0,4,192,32.4,46,0.29610829103214886,0.23949889462048637,0.31459170013386883,0.39781591263650545,0.20652173913043478,0.632034632034632,0.48791208791208796,0.4524271844660194,0.5154639175257731,0.6062500000000001,2024,0.6231003039513676,192,0.14253826530612243,0.525772749919302,0.324324324,0.27981651376146793,0.7198067632850241,0.6062992125984252,0.6105263157894737,0.1596244131455399,0.5271317829457365,0.6008403361344539,0.6860011154489682,0.704402516,0.635220126,0.6231003039513676,0.5528424265547501,0.2868852459016394,0.3450356420268601,0.4871061120492834,0.5183897154772944,0.42481413003194585,0.4891304347826087,0.9361702127659576,1.0,0.5986172560468694,0.3294965154567795,0.4210526315789474,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,1.0
586,2.4,1.6460405429633092,967,"Wilson, Bryse",669060,MIL,Sinker,2.4,4,185,31.3,52,0.3316412859560068,0.22402358142962417,0.31459170013386883,0.2745709828393136,0.28804347826086957,0.5670995670995671,0.5758241758241758,0.3621359223300971,0.48453608247422675,0.735,2024,0.7507598784194527,184,0.14253826530612243,0.525772749919302,0.310810811,0.2064220183486239,0.782608695652174,0.5078740157480315,0.4947368421052632,0.6995305164319249,0.06459948320413439,0.5672268907563026,0.6731734523145566,0.302681992,0.363984674,0.7537993920972643,0.5547500953834414,0.6926229508196722,0.8374934310524489,0.8399309508041258,0.6045760948511936,0.6601869070844277,0.8369565217391304,0.851063829787234,0.7659574468085106,0.19772711966856493,0.34005147415037734,0.7894736842105263,0.9090909090909091,0.0,0.8181818181818182,0.0,0.5,0.0
587,-0.9,-1.259709732825625,968,"Miller, Erik",669062,SF,4-Seam Fastball,-0.9,-2,185,45.3,37,0.36209813874788493,0.3949889462048637,0.4872824631860777,0.4477379095163807,0.44021739130434784,0.4632034632034632,0.3494505494505495,0.32524271844660196,0.486254295532646,0.70375,2024,0.8358662613981762,185,0.08386479591836732,0.30092362271166984,0.453431373,0.09174311926605505,0.9404186795491143,0.5511811023622047,0.5263157894736843,0.4460093896713615,0.2790697674418605,0.689075630252101,0.6954824316787507,0.356020942,0.819371728,0.8358662613981762,0.5875619992369325,0.7049180327868853,0.8274109787433551,0.9535648976372733,0.40370655190534543,0.40767553223356373,0.9456521739130435,0.02127659574468084,0.0,0.3524768400886793,0.08154452950232358,0.6315789473684211,0.0,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337
588,2.8,1.8420061891009074,969,"Miller, Erik",669062,SF,Changeup,2.8,4,154,37.7,37,0.1996615905245347,0.15180545320560057,0.19143239625167335,0.5694227769110765,0.36684782608695654,0.4004329004329004,0.389010989010989,0.27961165048543696,0.3402061855670103,0.5212500000000001,2024,0.483282674772036,154,0.08386479591836732,0.30092362271166984,0.37745098,0.4235474006116208,0.6328502415458938,0.7007874015748031,0.6842105263157895,0.76056338028169,0.09302325581395354,0.6680672268907564,0.682654768544339,0.849785408,0.806866953,0.4802431610942248,0.4223578786722625,0.6434426229508197,0.7903702201573439,0.9780499780102136,0.2728487689146996,0.2622811308016405,0.9782608695652175,0.14893617021276595,0.14893617021276595,0.4029801202939451,0.002687794343177821,0.5789473684210527,0.09090909090909091,1.0,0.09090909090909091,1.0,0.0,0.0
589,-2.4,-2.7093376524604826,971,"Hall, DL",669084,MIL,4-Seam Fastball,-2.4,-4,163,49.7,50,0.7648054145516074,0.4561532792925571,0.6024096385542168,0.1419656786271451,0.10869565217391305,0.19696969696969696,0.6923076923076924,0.48446601941747575,0.6013745704467354,0.545,2024,0.7112462006079023,163,0.058354591836734686,0.2174082325746075,0.49695122,0.1758409785932722,0.8776167471819646,0.4881889763779527,0.4421052631578948,0.28638497652582157,0.248062015503876,0.49579831932773116,0.660345789180145,0.162303665,0.212041885,0.7112462006079023,0.5192674551697826,0.5204918032786885,0.6278382233252324,0.7875221193532915,0.41075441761876785,0.42393969166396744,0.7826086956521738,0.02127659574468084,0.0,0.32755001371225845,0.12318439617767249,0.6315789473684211,0.0,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337
